Time,Data
1.867152405,-177.0928981
1.875320524,-96.20167226
1.883935629,-10.19945088
1.891547088,65.86723301
1.900357035,153.4062705
1.909166983,239.7554123
1.91959841,339.5403559
1.928648201,423.1563288
1.936312621,491.2900801
1.944420287,560.2163435
1.952724067,626.9910615
1.96363858,708.1184295
1.971021503,758.2724253
1.978404426,804.2951405
1.98857651,860.4790428
1.995589964,894.066893
2.002603418,923.2587613
2.015775781,965.719747
2.020996869,977.9508867
2.026217957,987.5167612
2.035028602,997.5463659
2.043510002,999.8912535
2.051991403,995.0478188
2.063420655,977.2201856
2.069571221,962.3273885
2.075721788,943.7953057
2.087508592,898.3780364
2.093407093,870.9231027
2.099305593,840.4389049
2.110208787,776.480199
2.116844477,732.9877452
2.123480168,686.2689557
2.137761255,575.7621669
2.142612935,535.4320526
2.147464615,493.8418429
2.155573579,421.7847102
2.166740714,318.1158493
2.177250167,216.9089434
2.183461558,155.8945371
2.189672949,94.27886152
2.202201098,-30.85750862
2.209584691,-104.5071574
2.216968283,-177.5873188
2.230240862,-306.2583784
2.239074447,-389.0461016
2.247908031,-468.7999856
2.255441501,-533.9508631
2.263994955,-604.2314459
2.272548409,-670.0940709
2.283459031,-746.9359377
2.290138056,-789.6460965
2.29681708,-828.8350034
2.308696444,-889.3016581
2.314698521,-915.1325724
2.320700598,-937.6677179
2.332023712,-970.9306144
2.33823997,-983.9250139
2.344456229,-993.1185676
2.356448045,-999.9967855
2.362176433,-998.2113513
2.367904822,-993.1512382
2.37822877,-975.8225824
2.385140145,-958.3991351
2.39205152,-936.399515
2.403336183,-890.925688
2.409705393,-860.2130376
2.416074603,-826.0119543
2.428669094,-748.6678099
2.434208717,-710.8134794
2.439748339,-670.7784036
2.449606846,-594.5233856
2.457455376,-529.6496474
2.465303907,-461.5149718
2.482698544,-301.013996
2.486308262,-266.4023982
2.48991798,-231.4437142
2.496003772,-171.8462603
2.503790561,-94.69352244
2.516053409,27.78928459
2.52604687,127.3804611
2.536040332,225.7005566
2.544810376,310.1611467
2.552094244,378.5240804
2.561065683,459.9293187
2.569991034,537.2465584
2.578503704,607.012466
2.587016374,672.3822797
2.597389376,745.4118943
2.605916863,799.4790114
2.615430829,852.9271231
2.62319724,890.8583606
2.630101289,920.0749091
2.638904798,950.954392
2.647670073,974.3826558
2.656435349,990.3295242
2.665667114,998.9019705
2.675744091,998.547566
2.682866238,992.1820973
2.689988385,980.7859142
2.699848906,956.8162412
